a অ
bhO ভো
mO মো
YO যো
rO ৰো
lO লো
LO লো
WO ৱো
sO সো
shO শো
SO শো
ShO ষো
hO হো
~hO হো
yO য়ো
YxO য়ো
DxO ড়ো
DhxO ঢ়ো
QO ক্ষো
RO রো
kou কৌ
khou খৌ
Kou খৌ
gou গৌ
ghou ঘৌ
Gou ঘৌ
~gou ঙৌ
cou চৌ
chou চৌ
Cou ছৌ
Chou ছৌ
jou জৌ
Jou ঝৌ
jhou ঝৌ
~jou ঞৌ
Tou টৌ
Thou ঠৌ
Dou ডৌ
Dhou ঢৌ
Nou ণৌ
tou তৌ
thou থৌ
dou দৌ
dhou ধৌ
nou নৌ
pou পৌ
Pou ফৌ
phou ফৌ
bou বৌ
vou বৌ
Bou ভৌ
bhou ভৌ
mou মৌ
You যৌ
rou ৰৌ
lou লৌ
Lou লৌ
Wou ৱৌ
sou সৌ
shou শৌ
Sou শৌ
Shou ষৌ
hou হৌ
~hou হৌ
you য়ৌ
Yxou য়ৌ
Dxou ড়ৌ
Dhxou ঢ়ৌ
Qou ক্ষৌ
Rou রৌ
rk ৰ্ক
rkh ৰ্খ
rK ৰ্খ
rg ৰ্গ
rgh ৰ্ঘ
rG ৰ্ঘ
r~g ৰ্ঙ
rc ৰ্চ
rch ৰ্চ
rC ৰ্ছ
rCh ৰ্ছ
rj ৰ্জ
rJ ৰ্ঝ
rjh ৰ্ঝ
r~j ৰ্ঞ
rT ৰ্ট
rTh ৰ্ঠ
rD ৰ্ড
rDh ৰ্ঢ
rN ৰ্ণ
rt ৰ্ত
rth ৰ্থ
rd ৰ্দ
rdh ৰ্ধ
rn ৰ্ন
rp ৰ্প
rP ৰ্ফ
rph ৰ্ফ
rb ৰ্ব
rv ৰ্ব
rB ৰ্ভ
rbh ৰ্ভ
rm ৰ্ম
rY ৰ্য
rr ৰ্ৰ
rl ৰ্ল
rL ৰ্ল
rW ৰ্ৱ
rs ৰ্স
rsh ৰ্শ
rS ৰ্শ
rSh ৰ্ষ
rh ৰ্হ
r~h ৰ্হ
ry ৰ্য়
rYx ৰ্য়
rDx ৰ্ড়
rDhx ৰ্ঢ়
rQ ৰ্ক্ষ
rR ৰ্র
rkY ৰ্ক্য
rkhY ৰ্খ্য
rKY ৰ্খ্য
rgY ৰ্গ্য
rghY ৰ্ঘ্য
rGY ৰ্ঘ্য
r~gY ৰ্ঙ্য
rcY ৰ্চ্য
rchY ৰ্চ্য
rCY ৰ্ছ্য
rChY ৰ্ছ্য
rjY ৰ্জ্য
rJY ৰ্ঝ্য
rjhY ৰ্ঝ্য
r~jY ৰ্ঞ্য
rTY ৰ্ট্য
rThY ৰ্ঠ্য
rDY ৰ্ড্য
rDhY ৰ্ঢ্য
rNY ৰ্ণ্য
rtY ৰ্ত্য
rthY ৰ্থ্য
rdY ৰ্দ্য
rdhY ৰ্ধ্য
rnY ৰ্ন্য
rpY ৰ্প্য
rPY ৰ্ফ্য
rphY ৰ্ফ্য
rbY ৰ্ব্য
rvY ৰ্ব্য
rBY ৰ্ভ্য
rbhY ৰ্ভ্য
rmY ৰ্ম্য
rYY ৰ্য্য
rrY ৰ্ৰ্য
rlY ৰ্ল্য
rLY ৰ্ল্য
rWY ৰ্ৱ্য
rsY ৰ্স্য
rshY ৰ্শ্য
rSY ৰ্শ্য
rShY ৰ্ষ্য
rhY ৰ্হ্য
r~hY ৰ্হ্য
ryY ৰ্য়্য
rYxY ৰ্য়্য
rDxY ৰ্ড়্য
rDhxY ৰ্ঢ়্য
rQY ৰ্ক্ষ্য
rRY ৰ্র্য
rk ৰ্ক
rka ৰ্ক
rkh ৰ্খ
rkha ৰ্খ
rK ৰ্খ
rKa ৰ্খ
rg ৰ্গ
rga ৰ্গ
rgh ৰ্ঘ
rgha ৰ্ঘ
rG ৰ্ঘ
rGa ৰ্ঘ
r~g ৰ্ঙ
r~ga ৰ্ঙ
